Gene	conMean	treatMean	pvalue	Type
ALDH3A2	9.08476496	9.47363196875	0.00308560443250027	Up
ATF3	10.1653904	8.16940153125	6.21637910228721e-09	Down
ATG16L1	5.28535608	4.54147221875	0.0110510962266309	Down
BRD2	10.13284132	9.5708834375	7.60535513305708e-07	Down
BRD4	9.2571424	8.62947028125	0.000146710472983958	Down
CDKN1A	10.52573828	9.00563165625	5.75363708853215e-10	Down
CDKN2A	6.4018678	6.7981831875	0.000759490749137	Up
CYB5R1	9.93277248	10.32750765625	1.02353161302138e-05	Up
DAZAP1	8.32334328	7.893812625	4.29744598431796e-05	Down
DDR2	9.71976844	9.29385765625	0.0240449725874404	Down
EGFR	7.73859136	7.35111259375	0.00226627962260948	Down
FURIN	8.60808504	8.07641434375	2.63196421565934e-05	Down
FZD7	8.41904468	9.1653876875	1.64325035753253e-07	Up
GABARAPL2	11.27119732	11.6353295625	1.73316565291834e-08	Up
GLRX5	8.54478588	8.993341	0.00240032438706523	Up
GSTZ1	5.13093688	6.09483428125	0.00190356479751446	Up
HSPA5	11.88396968	11.33786565625	0.00125206581101503	Down
IL1B	7.83665464	6.98176565625	0.00336501027739881	Down
IL6	8.81210256	7.0268185625	0.000146710472983958	Down
MEF2C	8.51681548	8.84630896875	0.0184484037167958	Up
MEG3	7.8299334	7.23748171875	0.0017948355202587	Down
MTDH	9.78339376	9.62759328125	0.0323433956694018	Down
NDRG1	11.59299096	11.09523409375	0.000279075482707352	Down
PARK7	11.93305964	12.1201976875	0.000670582995073847	Up
PARP6	9.49148084	9.14018590625	1.03761784834248e-06	Down
PEX2	8.6058074	9.04399275	5.61271459171074e-05	Up
PGRMC1	9.94748532	10.2710234375	1.36033827993368e-05	Up
PTGS2	7.6265094	6.06285353125	0.000343302968535437	Down
RBMS1	11.02747684	10.8149125	0.00744418545729451	Down
RELA	9.7972514	9.46573459375	0.000142734661093344	Down
SCP2	9.84915228	10.2545370625	3.22396488010124e-07	Up
SLC25A28	8.85529224	8.239892875	9.17378799185575e-08	Down
SLC39A14	12.05687724	11.07607965625	1.89832723188005e-06	Down
SNX5	9.54522528	9.792168875	0.00145089989977097	Up
SOCS1	5.7987278	5.32269859375	0.000109862817768328	Down
TBK1	9.09316312	8.78277796875	2.22661613734494e-05	Down
TFRC	9.82407924	9.147238625	0.0039667068410131	Down
TNFAIP3	9.59694536	8.42195040625	1.69885805794543e-09	Down
ULK1	7.2431838	6.7959855	0.0057581261545505	Down
ZFP36	12.16774056	10.6120065625	5.70984234985908e-08	Down
