ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HISTIDINE METABOLISM	HISTIDINE METABOLISM	23	0.690051973814385	1.90020883267285	0.000842779118523257	0.043710159638926	0.0392222312549465	2032	tags=57%, list=16%, signal=47%	ALDH3A1/FTCD/AOC1/MAOA/DDC/HDC/HAL/HNMT/LCMT2/ALDH3A2/TRMT11/ASPA/ALDH1A3
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	13	0.767640338722439	1.85710337075295	0.00182452366015369	0.043710159638926	0.0392222312549465	369	tags=31%, list=3%, signal=30%	UGT2B4/UGT2A3/UGT2B28/XYLB
TYROSINE METABOLISM	TYROSINE METABOLISM	37	0.579297548977602	1.77448755755282	0.00191082665088201	0.043710159638926	0.0392222312549465	2032	tags=49%, list=16%, signal=41%	HPD/AOX1/ALDH3A1/TYR/TYRP1/MAOA/ADH1C/DDC/HGD/ADH6/TAT/GSTZ1/LCMT2/ADH1A/TRMT11/ADH5/GOT1/ALDH1A3
ECM RECEPTOR INTERACTION	ECM RECEPTOR INTERACTION	79	-0.500753297686815	-1.72319832129478	0.000822222827004789	0.043710159638926	0.0392222312549465	2539	tags=44%, list=20%, signal=36%	DAG1/LAMC1/ITGB1/COL1A2/LAMA4/FN1/TNN/ITGA7/ITGB8/COL6A3/THBS2/COL6A2/ITGB3/LAMA5/LAMB2/ITGA3/LAMB3/COL4A1/ITGAV/COL4A2/THBS1/LAMB1/COL5A2/COL6A1/COL5A1/HSPG2/COL11A1/TNC/LAMC3/COL5A3/COL1A1/COL2A1/SPP1/LAMA3/ITGB7
CARDIAC MUSCLE CONTRACTION	CARDIAC MUSCLE CONTRACTION	61	0.513364144688146	1.71772419865676	0.00168991123462296	0.043710159638926	0.0392222312549465	2061	tags=30%, list=16%, signal=25%	TNNC1/MYL2/MYH6/ACTC1/CACNA2D3/MYH7/CACNA2D2/MYL3/TNNI3/TPM3/COX6A2/TNNT2/SLC9A1/CACNB2/CACNA2D1/CACNG2/CYC1/CACNB4
SMALL CELL LUNG CANCER	SMALL CELL LUNG CANCER	84	-0.487570255168096	-1.68998253463512	0.00176989400599563	0.043710159638926	0.0392222312549465	2469	tags=42%, list=20%, signal=34%	NFKBIA/TP53/PIK3R1/CCNE1/LAMC1/ITGB1/BCL2L1/RXRB/E2F2/LAMA4/TRAF3/TRAF5/FN1/MYC/CCND1/NOS2/LAMA5/LAMB2/ITGA3/BCL2/LAMB3/COL4A1/ITGAV/COL4A2/LAMB1/TRAF1/BIRC3/APAF1/LAMC3/TRAF2/TRAF4/CDKN2B/PTGS2/LAMA3/AKT2
DILATED CARDIOMYOPATHY	DILATED CARDIOMYOPATHY	81	0.473009567003763	1.64916336295317	0.00164737959785524	0.043710159638926	0.0392222312549465	1284	tags=25%, list=10%, signal=22%	TNNC1/SGCG/MYL2/TTN/MYH6/ACTC1/CACNA2D3/MYH7/CACNA2D2/ITGA1/MYL3/TNNI3/TPM3/ADCY2/PLN/TNNT2/PRKX/ITGA9/TNF/DES
NEUROACTIVE LIGAND RECEPTOR INTERACTION	NEUROACTIVE LIGAND RECEPTOR INTERACTION	240	0.355311492089834	1.44020180334309	0.00176796718079492	0.043710159638926	0.0392222312549465	1965	tags=35%, list=16%, signal=30%	GABRB3/MTNR1A/FSHB/GH2/GLRA2/CHRNA1/F2RL2/GABRP/CHRM4/CHRNB4/HTR2B/GABRG3/GRIN2C/CHRM3/CYSLTR2/HTR1D/P2RY14/PTGFR/F2/NMBR/FPR3/HTR7/VIPR1/GABRA3/GPR50/HTR1E/GHRHR/PRLR/AVPR1B/GABRB2/GH1/TAAR2/NPY2R/HCRTR2/CGA/F2RL1/CHRNA10/CHRNA9/GABRG2/CHRNB1/GRIK2/GZMA/DRD3/THRB/TACR1/FPR1/GRM1/CRHR2/PRSS3/HRH4/CHRNE/DRD4/GLRA3/MC4R/PRL/FPR2/GRIA3/BRS3/S1PR2/GRIK3/GRM5/ADORA3/MTNR1B/GRIN2A/S1PR5/HTR1B/HTR2C/NPFFR1/CHRNA3/GRIK4/GRM8/GABRA1/LPAR6/CNR2/CTSG/GABRR1/FSHR/P2RY10/TAAR5/ADRB2/DRD2/NPY1R/S1PR1/GRPR
FOCAL ADHESION	FOCAL ADHESION	187	-0.38640535268815	-1.47396147469468	0.00261098981844891	0.0530901263084612	0.0476391124769626	2934	tags=36%, list=23%, signal=28%	CDC42/PPP1R12A/COL3A1/MYL7/VEGFA/PIK3R1/THBS3/ACTN4/PAK3/VCL/PAK4/SHC3/LAMC1/ITGB1/VEGFC/MAPK8/COL1A2/LAMA4/PDGFA/FLNA/FN1/TNN/CCND1/FLT1/VEGFB/GSK3B/ITGA7/MYL10/ITGB8/COL6A3/THBS2/CTNNB1/COL6A2/PAK6/PGF/ITGB3/PDGFB/LAMA5/LAMB2/ITGA3/ACTN1/BCL2/LAMB3/COL4A1/ITGAV/COL4A2/THBS1/LAMB1/COL5A2/PDGFRB/COL6A1/COL5A1/BIRC3/COL11A1/JUN/KDR/TNC/LAMC3/VAV2/COL5A3/COL1A1/COL2A1/SPP1/LAMA3/RAPGEF1/AKT2/ITGB7
RETINOL METABOLISM	RETINOL METABOLISM	38	0.578052597584224	1.77553230185669	0.00364941816716487	0.0614401160109114	0.055131769328169	750	tags=24%, list=6%, signal=22%	UGT2B4/RPE65/UGT2A3/PNPLA4/UGT2B28/CYP3A43/ALDH1A1/ADH1C/ADH6
